number,short_description,priority,state,assignment_group,assigned_to,sys_created_on,sys_updated_on,sys_id,age_days,total_hours,total_days,total_minutes,sla_breach
INC0044253,Document |I can't change my comments in sqad check. The document is read only,3 - Moderate,In Progress,WIT-ServiceDesk-L1,Harini Gopi,03-11-2025 18:36,14-11-2025 08:04,002748383b49f214ae6be524c3e45adb,2,56.55,2.36,3393,TRUE
INC0027627,Bluebeam closes immediately after oppening.,3 - Moderate,In Progress,WIT-AP-Support-Central,Graham Tucker,16-09-2025 15:02,14-11-2025 08:04,00aa80913b843290ae6be524c3e45a9f,2,56.55,2.36,3393,TRUE
INC0045236,I am still struggling to log into adobe i need to be able to merge documents and have the same access as Charlotte Smith,3 - Moderate,In Progress,WIT-ServiceDesk-L1,Ankush Mehta,06-11-2025 10:02,14-11-2025 08:04,00dee5e93bc1b254ae6be524c3e45a6a,2,56.55,2.36,3393,TRUE
INC0035788,Bad Gateway code,3 - Moderate,New,WIT-AP-OracleEBS-Voyager,,09-10-2025 13:38,14-11-2025 08:04,00f3dae03b20fa14ae6be524c3e45a5c,2,56.55,2.36,3393,TRUE
INC0044917,Unable to perform routine actions in MS Outlook,4 - Low,In Progress,WIT-ServiceDesk-L1,Mahathikakshya Mahathikakshya,05-11-2025 09:58,14-11-2025 08:04,01026c113bc93e14ae6be524c3e45add,2,56.55,2.36,3393,TRUE
INC0045694,AVEVA | Application is too slow ,4 - Low,In Progress,WIT-ServiceDesk-L1,Sowmya Sakhinana,07-11-2025 05:31,14-11-2025 08:05,01eab9393b41f654ae6be524c3e45a10,2,56.55,2.36,3393,TRUE
INC0045984,LA Desktop|P5 users are experiencing degraded performance when accessing the LA Desktop.,3 - Moderate,In Progress,WIT-ServiceDesk-L1,Hymavathi Gurram,08-11-2025 06:58,14-11-2025 08:05,02485b8e3bc53e54ae6be524c3e45aa9,2,56.55,2.36,3393,TRUE
INC0037067,Printer|configure of The New Printer,4 - Low,On Hold,WIT-ServiceDesk-L1,Hithendra Eedhala,13-10-2025 13:36,14-11-2025 08:05,031a76b93be43a54ae6be524c3e45acc,2,56.55,2.36,3393,TRUE
INC0045006,Risk categorization loading incorrectly in the ATS form,4 - Low,In Progress,WIT-AMS-APP-SUPPORT-MBPM-COGNOS,Firdowshi Rahaman,05-11-2025 14:17,14-11-2025 08:05,032f95993b017654399d5d0864e45ada,2,56.55,2.36,3393,TRUE
INC0029843,SolarWinds alert ||P4||Data Store Latency Alert: Datastore_RDG01 Latency Reached 240.11 ms,4 - Low,On Hold,WIT-Monitoring-L1,Saibalaji Lankoti,22-09-2025 17:08,14-11-2025 08:05,03616bc33b84b610ae6be524c3e45a17,2,56.55,2.36,3393,TRUE
INC0045293,Convero doesn't load in Edge,3 - Moderate,In Progress,WIT-ServiceDesk-L1,Shiva Prakash,06-11-2025 13:12,14-11-2025 08:05,037a12293bc9ba54399d5d0864e45a8f,2,56.55,2.36,3393,TRUE
INC0045097,SolarWinds Alert | P4|  EMEA | UKI02 | London | GB | Node Down Alert: UKI02-CTXAPP01 has changed state to Down at UKI02,4 - Low,In Progress,WIT-Monitoring-L1,Thejesh Sudharshan,05-11-2025 20:49,14-11-2025 08:05,03c97ad13b09b654399d5d0864e45a17,2,56.55,2.36,3393,TRUE
